site_number, site_name,site_category, site_agency, longitude, latitude, site_nwis_url
2435020,"TOWN CREEK AT EASON BOULEVARD AT TUPELO, MS",ST,USGS,-88.6958333,34.23555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02435020
2436500,"TOWN CREEK NR NETTLETON, MS",ST,USGS,-88.6280556,34.05916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02436500
2437000,"TOMBIGBEE RIVER NR AMORY, MS",ST,USGS,-88.5511111,33.98555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02437000
2437100,"TOMBIGBEE RIVER AT ABERDEEN LOCK AND DAM, MS",ST,USGS,-88.52,33.83,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02437100
2439400,"BUTTAHATCHEE RIVER NR ABERDEEN, MS",ST,USGS,-88.3152778,33.79,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02439400
2441390,"TOMBIGBEE RIVER AT STENNIS LOCK AND DAM, MS",ST,USGS,-88.4894444,33.5175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02441390
2443500,"LUXAPALLILA CREEK NR COLUMBUS, MS",ST,USGS,-88.3952778,33.51416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02443500
2448000,"NOXUBEE RIVER AT MACON, MS",ST,USGS,-88.5587778,33.0723611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02448000
2448500,"NOXUBEE RIVER NR GEIGER, AL",ST,USGS,-88.2978103,32.9326287,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02448500
2472000,"LEAF RIVER NR COLLINS, MS",ST,USGS,-89.4069444,31.70694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02472000
2472500,"BOUIE CREEK NR HATTIESBURG, MS",ST,USGS,-89.4147222,31.42583333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02472500
2472850,"OKATOMA CREEK AT SANFORD, MS",ST,USGS,-89.4333333,31.48916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02472850
2472980,"BOUIE RIVER AT GLENDALE AVENUE AT HATTIESBURG, MS",ST,USGS,-89.306,31.34925,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02472980
2473000,"LEAF RIVER AT HATTIESBURG, MS",ST,USGS,-89.2802778,31.34305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02473000
2474560,"LEAF RIVER NR NEW AUGUSTA, MS",ST,USGS,-89.0530556,31.22166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02474560
2475000,"LEAF RIVER NR MCLAIN, MS",ST,USGS,-88.8083222,31.10741389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02475000
2475500,"CHUNKY RIVER NR CHUNKY, MS",ST,USGS,-88.9091667,32.3261111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02475500
2476500,"SOWASHEE CREEK AT MERIDIAN, MS",ST,USGS,-88.6772222,32.36777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02476500
2476600,"OKATIBBEE CREEK AT ARUNDEL, MS",ST,USGS,-88.7536111,32.29833333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02476600
2477000,"CHICKASAWHAY RIVER AT ENTERPRISE, MS",ST,USGS,-88.8197222,32.17583333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02477000
2477045,"CHICKASAWHAY RIVER AT QUITMAN, MS",ST,USGS,-88.7442119,32.04237214,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02477045
2477500,"CHICKASAWHAY RIVER NR WAYNESBORO, MS",ST,USGS,-88.68351,31.68254959,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02477500
2478500,"CHICKASAWHAY RIVER AT LEAKESVILLE, MS",ST,USGS,-88.5480556,31.1486111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02478500
2479000,"PASCAGOULA RIVER AT MERRILL, MS",ST,USGS,-88.7269444,30.97805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02479000
2479130,"BLACK CREEK NR BROOKLYN, MS",ST,USGS,-89.2041667,31.05194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02479130
2479155,"CYPRESS CREEK NR JANICE, MS",ST,USGS,-89.0166667,31.02527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02479155
2479300,"RED CREEK AT VESTRY, MS",ST,USGS,-88.7811111,30.7361111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02479300
2479310,"PASCAGOULA RIVER AT GRAHAM FERRY, MS",ST,USGS,-88.64138889,30.61055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02479310
2479500,"ESCATAWPA RIVER NEAR WILMER, AL",ST,USGS,-88.417792,30.8624092,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02479500
248018020,"ESCATAWPA RIVER AT I-10 NR ORANGE GROVE, MS",ST,USGS,-88.45138889,30.4586111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0248018020
2480345,"TCHOUTACABOUFFA RIVER TRIB NEAR WHITE PLAINS, MS",ST,USGS,-88.9068417,30.5910972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02480345
2480590,"TCHOUTACABOUFFA RIVER NR D'IBERVILLE, MS",ST,USGS,-88.8933643,30.4760307,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02480590
2481000,"BILOXI RIVER AT WORTHAM, MS",ST,USGS,-89.1219444,30.5586111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481000
2481130,"BILOXI RIVER NR LYMAN, MS",ST,USGS,-89.0358333,30.48833333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481130
2481251,"TURKEY CREEK AT AIRPORT ROAD AT GULFPORT, MS",ST-TS,USGS,-89.0825028,30.4184361,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481251
2481299,"OLD FORT BAYOU AT OCEAN SPRINGS, MS",ES,USGS,-88.8280556,30.41916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481299
2481510,"WOLF RIVER NR LANDON, MS",ST,USGS,-89.2744444,30.4836111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481510
2481521,"WOLF RIVER AT BELLE FERRY ROAD NEAR LONG BEACH, MS",ST-TS,USGS,-89.2063889,30.3933611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481521
2481660,"JOURDAN RIVER NR BAY ST LOUIS, MS",ST,USGS,-89.4413889,30.3872222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481660
2481880,"PEARL RIVER AT BURNSIDE, MS",ST,USGS,-89.0977778,32.84138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02481880
2482000,"PEARL RIVER AT EDINBURG, MS",ST,USGS,-89.335,32.79888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02482000
2482470,"LOBUTCHA CREEK AT RENFROE, MS",ST,USGS,-89.4433333,32.8622222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02482470
2482550,"PEARL RIVER NR CARTHAGE, MS",ST,USGS,-89.5263889,32.7072222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02482550
2483000,"TUSCOLAMETA CREEK AT WALNUT GROVE, MS",ST,USGS,-89.465,32.58833333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02483000
2483500,"PEARL RIVER NR LENA, MS",ST,USGS,-89.6461111,32.6672222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02483500
2484000,"YOCKANOOKANY RIVER NR KOSCIUSKO, MS",ST,USGS,-89.5777778,33.0322222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02484000
2484500,"YOCKANOOKANY RIVER NR OFAHOMA, MS",ST,USGS,-89.6719444,32.7061111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02484500
2484600,"COFFEE BOGUE AT LUDLOW, MS",ST,USGS,-89.7297222,32.57388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02484600
2484650,"PEARL RIVER AT RATLIFF`S FERRY NR RATLIFF, MS",ST,USGS,-89.8405556,32.59416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02484650
2484760,"FANNEGUSHA CREEK NR SAND HILL, MS",ST,USGS,-89.8127778,32.50555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02484760
2485498,"PELAHATCHIE CREEK AT STATE HWY 25 NR FANNIN, MS",ST,USGS,-89.9552778,32.38805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485498
2485600,"ROSS BARNETT RESERVOIR NR JACKSON, MS",LK,USGS,-90.065,32.39777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485600
2485601,"PEARL RIVER AT ROSS BARNETT RESERVOIR, MS",ST,USGS,-90.0647222,32.39777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485601
2485700,"HANGING MOSS CREEK NR JACKSON, MS",ST,USGS,-90.1447222,32.365,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485700
2485720,"WHITE OAK CREEK AT WESTBROOK ROAD AT JACKSON, MS",ST,USGS,-90.1277778,32.3703611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485720
2485735,"PEARL RIVER AT HWY 25 AT JACKSON, MS",ST,USGS,-90.1292532,32.33153417,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485735
2485777,"EUBANKS CREEK AT EAGLE AVENUE AT JACKSON, MS",ST,USGS,-90.1707222,32.34769444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485777
2485800,"EUBANKS CREEK AT JACKSON, MS",ST,USGS,-90.1644444,32.3397222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485800
2485810,"BELHAVEN CREEK AT RIVERSIDE DRIVE AT JACKSON, MS",ST,USGS,-90.1716944,32.32352778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485810
2485820,"BELHAVEN CREEK AT LAUREL STREET AT JACKSON, MS",ST,USGS,-90.1623611,32.31877778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485820
2485950,"TOWN CREEK AT JACKSON, MS",ST,USGS,-90.1925,32.3036111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02485950
2486000,"PEARL RIVER AT JACKSON, MS",ST,USGS,-90.1788889,32.28138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02486000
2486100,"LYNCH CREEK AT JACKSON, MS",ST,USGS,-90.215,32.2847222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02486100
2486350,"CANY CREEK AT JACKSON, MS",ST,USGS,-90.2330556,32.23805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02486350
2487500,"STRONG RIVER AT D`LO, MS",ST,USGS,-89.8975,31.97777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02487500
2488000,"PEARL RIVER AT ROCKPORT, MS",ST,USGS,-90.1425,31.79083333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02488000
2488500,"PEARL RIVER NR MONTICELLO, MS",ST,USGS,-90.0880556,31.55333333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02488500
2489000,"PEARL RIVER NR COLUMBIA, MS",ST,USGS,-89.8469444,31.23777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02489000
2489500,"Pearl River near Bogalusa, LA",ST,USGS,-89.8209117,30.7932614,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02489500
2490193,"Pearl River at Pools Bluff near Bogalusa, LA",ST,USGS,-89.8463889,30.70583333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02490193
2490200,Pearl River Navigation Canal Lock and Dam No. 3,ST,USGS,-89.8680556,30.63805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02490200
2490500,"BOGUE CHITTO NR TYLERTOWN, MS",ST,USGS,-90.2794444,31.17694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02490500
2492100,Pearl River Navigation Canal Lock and Dam No. 2,ST,USGS,-89.8644444,30.59333333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492100
2492343,"EAST HOBOLOCHITTO CREEK NR CAESAR, MS",ST,USGS,-89.5947222,30.57416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492343
2492360,"WEST HOBOLOCHITTO CREEK NR MCNEILL, MS",ST,USGS,-89.6861111,30.6622222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492360
2492519,Pearl River Navigation Canal Lock and Dam No. 1,ST,USGS,-89.7797222,30.45638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492519
2492600,"Pearl River at Pearl River, LA",ST,USGS,-89.7367304,30.385193,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492600
2492620,"PEARL RIVER AT NSTL STATION, MS",ST,USGS,-89.6458927,30.352416,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492620
7029270,"HATCHIE RIVER NR WALNUT, MS",ST,USGS,-88.7875557,34.94175668,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07029270
7032000,"MISSISSIPPI RIVER AT MEMPHIS, TN",ST,USGS,-90.077592,35.12314616,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07032000
7268000,"LITTLE TALLAHATCHIE RIVER AT ETTA, MS",ST,USGS,-89.2244444,34.4825,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07268000
7274000,"YOCONA RIVER NR OXFORD, MS",ST,USGS,-89.5213889,34.2733333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07274000
7275900,"COLDWATER RIVER NR OLIVE BRANCH, MS",ST,USGS,-89.7533333,34.9075,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07275900
7276000,"COLDWATER RIVER NR LEWISBURG, MS",ST,USGS,-89.8256429,34.84093038,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07276000
7280010,"TALLAHATCHIE RIVER AT ALLEN, MS",ST,USGS,-90.2301111,34.14463889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07280010
7281600,"TALLAHATCHIE RIVER AT MONEY, MS",ST,USGS,-90.2111111,33.65138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07281600
7282000,"YALOBUSHA R AND TOPASHAW C CA AT CALHOUN CITY, MS",ST,USGS,-89.3155556,33.8386111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07282000
7282100,"TOPASHAW CREEK CANAL NR CALHOUN CITY, MS",ST,USGS,-89.3458333,33.8147222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07282100
7283000,"SKUNA RIVER AT BRUCE, MS",ST,USGS,-89.3477778,33.9736111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07283000
7285400,"BATUPAN BOGUE AT GRENADA, MS",ST,USGS,-89.7875859,33.77400485,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07285400
7285500,"YALOBUSHA RIVER AT GRENADA, MS",ST,USGS,-89.8097222,33.78777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07285500
7287404,"HARLAND CREEK NR HOWARD, MS",ST,USGS,-90.1734194,33.10179419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07287404
7287700,"PHILLIPS BAYOU AT POWELL, MS",ST,USGS,-90.5302222,34.48425,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07287700
7287714,"LONG LAKE AT CONTROL STRUCTURE NR FRIARS POINT, MS",LK,USGS,-90.5564722,34.38177778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07287714
7287715,"MILL CREEK TRIBUTARY NEAR FRIARS POINT, MS",ST,USGS,-90.55625,34.38169444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07287715
7288000,"BIG SUNFLOWER RIVER AT CLARKSDALE, MS",ST,USGS,-90.575099,34.19733086,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288000
7288048,"RICHIES BAYOU AT SHERARD, MS",ST,USGS,-90.7001944,34.2092222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288048
7288068,"HARRIS BAYOU AT PALMER RD EAST OF ALLIGATOR, MS",ST,USGS,-90.6249444,34.07475,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288068
7288150,"HUSHPUCKENA RIVER AT HUSHPUCKENA, MS",ST,USGS,-90.7560833,34.0093333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288150
7288280,"BIG SUNFLOWER RIVER NR MERIGOLD, MS",ST,USGS,-90.67,33.8325,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288280
7288500,"BIG SUNFLOWER RIVER AT SUNFLOWER, MS",ST,USGS,-90.5431579,33.5473557,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288500
7288521,"PORTER BAYOU AT STEPHENSVILLE, MS",ST,USGS,-90.6723611,33.54825,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288521
7288570,"QUIVER RIVER NR DODDSVILLE, MS",ST,USGS,-90.4020538,33.64085918,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288570
7288580,"QUIVER RIVER NR SUNFLOWER, MS",ST,USGS,-90.4387103,33.52957845,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288580
7288650,"BOGUE PHALIA NR LELAND, MS",ST,USGS,-90.8477778,33.39666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288650
7288700,"BIG SUNFLOWER RIVER NR ANGUILLA, MS",ST,USGS,-90.7778758,32.9717936,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288700
7288800,"YAZOO RIVER AT REDWOOD, MS",ST,USGS,-90.8173251,32.4873633,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288800
7288847,"STEELE BAYOU NR GLEN ALLAN, MS",ST,USGS,-90.9981598,33.03151289,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288847
7288939,"STEELE BAYOU AT HWY 465 NEAR REDWOOD, MS",ST,USGS,-90.8901667,32.45213889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07288939
7289000,"MISSISSIPPI RIVER AT VICKSBURG, MS",ST,USGS,-90.9058333,32.315,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07289000
7289350,"BIG BLACK RIVER AT WEST, MS",ST,USGS,-89.7711111,33.19444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07289350
7289730,"BIG BLACK RIVER NR BENTONIA, MS",ST,USGS,-90.3638889,32.60305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07289730
7290000,"BIG BLACK RIVER NR BOVINA, MS",ST,USGS,-90.6969444,32.34777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07290000
7290650,"BAYOU PIERRE NR WILLOWS, MS",ST,USGS,-90.8783333,32.0186111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07290650
7291000,"HOMOCHITTO RIVER AT EDDICETON, MS",ST,USGS,-90.7775,31.50305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07291000
7292500,"HOMOCHITTO RIVER AT ROSETTA, MS",ST,USGS,-91.1094444,31.3247222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07292500
7295000,"BUFFALO RIVER NR WOODVILLE, MS",ST,USGS,-91.2955556,31.22694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07295000
7375280,"TANGIPAHOA RIVER AT OSYKA, MS",ST,USGS,-90.4611111,31.0122222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07375280
7377000,"Amite River near Darlington, LA",ST,USGS,-90.8445454,30.8890694,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07377000
3.01104E+14,MISSISSIPPI SOUND AT USGS ST JOSEPH ISLAND LIGHT,ES,USGS,-89.4222222,30.19083333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=301104089253400
3.01141E+14,"EAST PEARL RIVER AT CSX RAILROAD NR CLAIBORNE, MS",ST,USGS,-89.5341667,30.1947222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=301141089320300
3.01429E+14,MISSISSIPPI SOUND AT USGS MERRILL SHELL BANK LIGHT,ES,USGS,-89.24281939,30.23825405,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=301429089145600
3.01527E+14,MISSISSIPPI SOUND AT USGS EAST SHIP ISLAND LIGHT,OC-CO,USGS,-88.86888889,30.25444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=301527088521500
3.01849E+14,"MISSISSIPPI SOUND AT USGS ROUND ISLAND LIGHT, MS",OC-CO,USGS,-88.58388889,30.30805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=301849088350000
3.01912E+14,"MISSISSIPPI SOUND AT USGS GULFPORT LIGHT, MS",OC-CO,USGS,-88.9722222,30.3186111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=301912088583300
3.02318E+14,"BILOXI BAY AT POINT CADET HARBOR AT BILOXI, MS",ES,USGS,-88.8572222,30.38833333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=302318088512600
3.23045E+14,"BIG SUNFLOWER DIVERSION CANAL NR REDWOOD, MS",ST,USGS,-90.8119444,32.5125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=323045090484300
3.33601E+14,"PORTER BAYOU NEAR SHAW, MS",ST,USGS,-90.7500833,33.60052778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=333601090450000
3.4155E+14,"OVERCUP SLOUGH TRIBUTARY NO 2 NEAR FARRELL, MS",ST,USGS,-90.6536111,34.26388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=341550090391300
